,precision,recall,hit
5,0.12470837751855779,0.05458333407769525,0.49522799575821846
10,0.11622481442205726,0.09863409450296036,0.704135737009544
15,0.11085189112760693,0.1366373761397668,0.8144220572640509
20,0.10588547189819723,0.1677956754773248,0.870625662778367
25,0.10332979851537645,0.20008724628290706,0.9141039236479321
30,0.1007423117709438,0.22962133213647032,0.9331919406150583
