,0,1,2,3,4
1,3.222661264223831,3.2202733151881207,3.2233232045876865,3.2327045079584966,3.242262307170651
51,3.2076618041766976,3.217627006506884,3.2198613795860016,3.2139422698977693,3.230727098261499
101,3.26346825308322,3.2614714031639203,3.2678313354393773,3.2630141897080778,3.2766071149121427
151,3.2918140976135946,3.297668318917674,3.2964694362724822,3.2964634017037477,3.3078339240215966
201,3.3125070481854637,3.319647299125057,3.3149541456882856,3.3221483897303714,3.3299628641690915
251,3.326396465911508,3.3325603710204024,3.324834062461796,3.336839994129493,3.3451542873222793
