,Precision,Recall,Accuracy
5,0.25768822905620276,0.09115377699162364,0.6956521739130435
10,0.21993637327677534,0.15693464334948584,0.8409331919406151
15,0.19589961117002488,0.2063564567842596,0.897136797454931
20,0.1799575821845175,0.2446570989744585,0.9194061505832449
25,0.1690774125132556,0.28577913517222275,0.9416755037115588
30,0.16051608342170315,0.3214893152712451,0.9575821845174973
