,1,2,3,4,5
1,3.9612633949024567,3.9607048882182183,3.9603699814886206,3.960481481705002,3.9589613289817738
21,3.4719820452262042,3.4726839338848223,3.4726194080500608,3.4714711557815945,3.470098254561575
41,2.5256826556006176,2.5233949594475265,2.5220564580193336,2.527575896944665,2.528782662034208
61,2.2022354393389882,2.212232532124939,2.2097991192822817,2.2048185132305242,2.2044218385654997
81,2.0606808055018018,2.0675031347052037,2.071436160133285,2.064361517780057,2.062870024707019
101,1.9901796546242467,1.9970109624543317,1.9918146206144354,1.997970265644381,1.9897711166376444
121,1.9674374230952758,1.9619261010031348,1.9565068699074757,1.958391982625185,1.9500170334824016
141,1.9401057146417295,1.936347564868315,1.9442465267965274,1.9380331235313553,1.9306265910872618
161,1.9437031517697645,1.9340516395848713,1.9342745425484655,1.9359796550411021,1.9218683547516635
181,1.93872528013537,1.9416646787266443,1.93262292258638,1.934699263426771,1.9300050779441944
201,1.9474680268412508,1.9503519955800022,1.945526657775159,1.9453699051468167,1.9425472539976443
