,Precision,Recall,Accuracy
5,0.1847295864262989,0.075305606988586,0.5408271474019088
10,0.17391304347826012,0.12990604982533585,0.7168610816542949
15,0.16804524566984796,0.17660367046100722,0.8250265111346765
20,0.16039236479321292,0.2134363939674399,0.8716861081654295
25,0.15503711558854755,0.24936851301817153,0.9077412513255567
30,0.1512195121951214,0.2838287654804202,0.9427359490986215
