,0,1,2,3,4
25,3.171523884878913,3.181828455740192,3.180734439508051,3.186069643390669,3.1914325401411903
30,3.1764384918144764,3.1878943080368236,3.1915687882618973,3.191290797702421,3.2002254089157494
35,3.185060109244583,3.1953559757655974,3.19900709814452,3.1984545951890975,3.207289999746273
40,3.1911842903111602,3.203435182952569,3.205302523630293,3.203173188708006,3.215855165561481
45,3.198744852581118,3.2108618259471253,3.2122580607874696,3.2085734898558114,3.2230140170791617
50,3.2066404437242118,3.2163067898067266,3.2190054719956014,3.213075927254466,3.2301679829767065
55,3.2127899230490407,3.221258254256844,3.2247539843296895,3.2174055037717304,3.235623621644073
60,3.2213040484232485,3.2263162019515566,3.2278703660290504,3.2210687541998446,3.240245649453572
65,3.226462871288083,3.2292192763369365,3.232002573828286,3.2268832409523474,3.245006728836888
70,3.233468529512027,3.2334037262072646,3.2363116959736256,3.2350745379280457,3.249424670168561
75,3.239415498216497,3.240405655043963,3.243485931939983,3.240054168268723,3.2535313750767454
